,cand_pcc,cand_name,cand_office,cand_office_st,cand_office_district,cand_election_yr,from_dates,through_dates,committee_total,actblue_total,percent
386,C00635870,"FAGAN, LINSEY",H,TX,26,2018,"[datetime.date(2018, 4, 1), datetime.date(2018, 1, 1), datetime.date(2017, 7, 1), datetime.date(2018, 2, 15), datetime.date(2017, 1, 1), datetime.date(2017, 4, 1), datetime.date(2017, 10, 1), datetime.date(2018, 7, 1)]","[datetime.date(2018, 6, 30), datetime.date(2018, 2, 14), datetime.date(2017, 9, 30), datetime.date(2018, 3, 31), datetime.date(2017, 3, 31), datetime.date(2017, 6, 30), datetime.date(2017, 12, 31), datetime.date(2018, 9, 30)]",150720.72,128746.0,0.8542023949991746
990,C00660597,"CHANDLER, ALEXANDRA ELEANOR",H,MA,03,2018,"[datetime.date(2018, 4, 1), datetime.date(2018, 8, 16), datetime.date(2018, 1, 1), datetime.date(2018, 7, 1), datetime.date(2017, 10, 16)]","[datetime.date(2018, 6, 30), datetime.date(2018, 9, 30), datetime.date(2018, 3, 31), datetime.date(2018, 8, 15), datetime.date(2017, 12, 31)]",143398.29,122434.45,0.8538069038340693
515,C00639906,"WILCOX, ROCHELLE LYN",H,CA,04,2018,"[datetime.date(2017, 10, 1), datetime.date(2017, 1, 1), datetime.date(2017, 7, 1)]","[datetime.date(2017, 12, 31), datetime.date(2017, 6, 30), datetime.date(2017, 9, 30)]",20438.0,17421.43,0.8524038555631667
413,C00636845,"MIN, DAVID",H,CA,45,2018,"[datetime.date(2017, 10, 1), datetime.date(2018, 4, 1), datetime.date(2018, 1, 1), datetime.date(2018, 5, 17), datetime.date(2017, 3, 31), datetime.date(2017, 7, 1), datetime.date(2018, 7, 1)]","[datetime.date(2017, 12, 31), datetime.date(2018, 5, 16), datetime.date(2018, 3, 31), datetime.date(2018, 6, 30), datetime.date(2017, 6, 30), datetime.date(2017, 9, 30), datetime.date(2018, 9, 18)]",1172259.32,998792.11,0.8520231769195914
1073,C00664524,"BACHER, STEVE",H,PA,01,2018,"[datetime.date(2017, 12, 1), datetime.date(2018, 4, 26), datetime.date(2018, 4, 1)]","[datetime.date(2018, 3, 31), datetime.date(2018, 6, 30), datetime.date(2018, 4, 25)]",42025.86,35739.86,0.8504254285337647
850,C00654855,"D'ALESSANDRO, PETE",H,IA,03,2018,"[datetime.date(2018, 4, 1), datetime.date(2017, 4, 25), datetime.date(2017, 10, 1), datetime.date(2018, 5, 17), datetime.date(2018, 7, 1), datetime.date(2018, 1, 1)]","[datetime.date(2018, 5, 16), datetime.date(2017, 9, 30), datetime.date(2017, 12, 31), datetime.date(2018, 6, 30), datetime.date(2018, 9, 30), datetime.date(2018, 3, 31)]",346881.08,294446.69,0.8488404441083959
703,C00649947,"SOLOMON, ROBERT",H,PA,14,2018,"[datetime.date(2018, 1, 1), datetime.date(2017, 7, 1), datetime.date(2018, 7, 1), datetime.date(2017, 10, 1), datetime.date(2018, 4, 1)]","[datetime.date(2018, 3, 31), datetime.date(2017, 9, 30), datetime.date(2018, 9, 30), datetime.date(2017, 12, 31), datetime.date(2018, 6, 30)]",33766.85,28621.85,0.8476316268766556
403,C00636613,"CROWE, DERRICK CHAD MR.",H,TX,21,2018,"[datetime.date(2017, 4, 1), datetime.date(2018, 7, 1), datetime.date(2017, 7, 1), datetime.date(2017, 10, 1), datetime.date(2018, 4, 1), datetime.date(2018, 2, 15), datetime.date(2018, 1, 1)]","[datetime.date(2017, 6, 30), datetime.date(2018, 9, 30), datetime.date(2017, 9, 30), datetime.date(2017, 12, 31), datetime.date(2018, 6, 30), datetime.date(2018, 3, 31), datetime.date(2018, 2, 14)]",168947.91,143144.66,0.8472709724553562
610,C00647586,"HARRIS, EUGENE PATTERSON",S,CA,00,2018,"[datetime.date(2018, 4, 1), datetime.date(2018, 1, 1), datetime.date(2017, 10, 1), datetime.date(2018, 5, 16), datetime.date(2017, 4, 1), datetime.date(2017, 7, 1)]","[datetime.date(2018, 5, 16), datetime.date(2018, 3, 31), datetime.date(2017, 12, 31), datetime.date(2018, 6, 30), datetime.date(2017, 6, 30), datetime.date(2017, 9, 30)]",23865.02,20183.37,0.8457302780387361
700,C00649897,"TIPIRNENI, HIRAL",H,AZ,08,2018,"[datetime.date(2018, 1, 1), datetime.date(2017, 7, 1), datetime.date(2018, 2, 8), datetime.date(2018, 5, 15), datetime.date(2018, 4, 5), datetime.date(2018, 7, 1), datetime.date(2018, 8, 9), datetime.date(2017, 10, 1)]","[datetime.date(2018, 2, 7), datetime.date(2017, 9, 30), datetime.date(2018, 4, 4), datetime.date(2018, 6, 30), datetime.date(2018, 5, 14), datetime.date(2018, 8, 8), datetime.date(2018, 9, 30), datetime.date(2017, 12, 31)]",3537738.16,2990154.14,0.8452163514554735
