,contribution_date,sum,count
757,2015-01-28,74366.61,2383
758,2015-01-29,69991.32,1454
759,2015-01-30,88495.95,2119
760,2015-01-31,107309.51,3303
761,2015-02-01,28525.81,862
762,2015-02-02,57537.92,743
763,2015-02-03,56684.17,727
764,2015-02-04,59203.42,725
765,2015-02-05,57538.62,947
766,2015-02-06,55105.65,1711
767,2015-02-07,31759.01,672
768,2015-02-08,21863.68,609
769,2015-02-09,86321.51,2860
770,2015-02-10,95944.19,23650
771,2015-02-11,89519.84,9583
772,2015-02-12,69070.49,5321
773,2015-02-13,66228.75,3526
774,2015-02-14,50309.56,3237
775,2015-02-15,28542.45,2430
776,2015-02-16,44394.42,1348
777,2015-02-17,81615.23,1902
778,2015-02-18,66616.84,2324
779,2015-02-19,108445.84,1909
780,2015-02-20,107863.09,2971
781,2015-02-21,56781.22,1468
782,2015-02-22,36199.19,892
783,2015-02-23,80966.27,1156
784,2015-02-24,88104.49,1833
785,2015-02-25,79684.88,1555
786,2015-02-26,109960.43,1448
787,2015-02-27,111805.4,2322
788,2015-02-28,168767.52,5339
789,2015-03-01,101878.29,1156
790,2015-03-02,81441.47,741
791,2015-03-03,104677.45,885
792,2015-03-04,102393.11,1174
793,2015-03-05,82013.83,1524
794,2015-03-06,69470.87,1813
795,2015-03-07,36920.79,1122
796,2015-03-08,48983.97,678
797,2015-03-09,108946.86,1098
798,2015-03-10,152347.48,3998
799,2015-03-11,135791.35,2547
800,2015-03-12,124148.15,2719
801,2015-03-13,124258.53,2765
802,2015-03-14,68570.97,1787
803,2015-03-15,64773.18,1187
804,2015-03-16,138903.42,2874
805,2015-03-17,116573.36,4053
806,2015-03-18,152990.58,2939
807,2015-03-19,169369.79,5934
808,2015-03-20,168999.73,4912
809,2015-03-21,46447.09,4849
810,2015-03-22,72886.61,2311
811,2015-03-23,203305.03,3200
812,2015-03-24,313882.21,9395
813,2015-03-25,259896.71,5871
814,2015-03-26,236730.68,6315
815,2015-03-27,296400.92,9208
816,2015-03-28,156485.11,5513
817,2015-03-29,212821.27,4922
818,2015-03-30,603179.99,7557
819,2015-03-31,1006664.03,11593
820,2015-04-01,168316.15,2141
821,2015-04-02,123717.62,1567
822,2015-04-03,64054.13,1584
823,2015-04-04,60213.54,1783
824,2015-04-05,18063.55,775
825,2015-04-06,78971.41,1218
826,2015-04-07,72233.89,1977
827,2015-04-08,75463.88,2499
828,2015-04-09,65516.11,2713
829,2015-04-10,95541.98,2784
830,2015-04-11,28428.15,1644
831,2015-04-12,41520.65,1897
