,contribution_date,sum,count
512,2014-05-28,779982.82,36395
513,2014-05-29,692274.78,31726
514,2014-05-30,902796.97,38000
515,2014-05-31,1115497.9,55604
516,2014-06-01,272512.47,14248
517,2014-06-02,570034.2,9887
518,2014-06-03,428304.98,7689
519,2014-06-04,316785.32,15201
520,2014-06-05,263055.98,11751
521,2014-06-06,273753.16,13405
522,2014-06-07,175912.79,10729
523,2014-06-08,178024.4,9748
524,2014-06-09,287603.92,11147
525,2014-06-10,410442.64,13469
526,2014-06-11,581411.34,25611
527,2014-06-12,491493.23,21829
528,2014-06-13,467372.31,21224
529,2014-06-14,229366.14,17000
530,2014-06-15,205901.4,13279
531,2014-06-16,425395.09,15550
532,2014-06-17,403238.97,14159
533,2014-06-18,367298.69,15519
534,2014-06-19,589706.39,30950
535,2014-06-20,597323.62,30216
536,2014-06-21,279093.77,16715
537,2014-06-22,224020.62,13998
538,2014-06-23,540086.72,18887
539,2014-06-24,853894.98,29664
540,2014-06-25,1174216.89,50692
541,2014-06-26,794150.59,36546
542,2014-06-27,964634.31,38085
543,2014-06-28,772126.96,35008
544,2014-06-29,975874.12,45958
545,2014-06-30,3300129.87,118305
546,2014-07-01,513841.3,18797
547,2014-07-02,228430.21,8066
548,2014-07-03,223665.98,9737
549,2014-07-04,147505.56,9798
550,2014-07-05,83730.87,4463
551,2014-07-06,73727.82,4459
552,2014-07-07,199936.08,10740
553,2014-07-08,307826.4,13110
554,2014-07-09,368652.79,18394
555,2014-07-10,360511.51,20518
556,2014-07-11,314304.54,20498
557,2014-07-12,156425.27,18748
558,2014-07-13,173545.58,20698
559,2014-07-14,311405.0,19841
560,2014-07-15,526319.14,32915
561,2014-07-16,529964.73,31443
562,2014-07-17,483408.6,28980
563,2014-07-18,446422.32,25591
564,2014-07-19,266385.08,15326
565,2014-07-20,247618.01,13994
566,2014-07-21,321157.64,11794
567,2014-07-22,380120.57,19216
568,2014-07-23,661004.41,30465
569,2014-07-24,874567.44,48179
570,2014-07-25,1247642.69,72225
571,2014-07-26,918197.18,53935
572,2014-07-27,832948.47,49558
573,2014-07-28,1603667.23,87434
574,2014-07-29,1013373.17,55494
575,2014-07-30,1494432.26,80138
576,2014-07-31,1854306.33,93285
577,2014-08-01,450765.43,20282
578,2014-08-02,191532.67,8854
579,2014-08-03,176763.53,9693
580,2014-08-04,367337.79,16049
581,2014-08-05,422438.15,12400
582,2014-08-06,400941.05,19482
583,2014-08-07,431210.27,19519
584,2014-08-08,336171.33,14724
585,2014-08-09,194445.8,10753
586,2014-08-10,220019.77,16445
587,2014-08-11,479131.18,25101
588,2014-08-12,491952.91,23969
589,2014-08-13,860552.31,45681
590,2014-08-14,876726.73,44671
591,2014-08-15,1032226.8,50086
592,2014-08-16,275973.76,18519
593,2014-08-17,270760.21,17455
594,2014-08-18,444463.79,17203
595,2014-08-19,466573.42,18102
596,2014-08-20,569746.37,31913
597,2014-08-21,579518.45,30739
598,2014-08-22,662844.31,31387
599,2014-08-23,437467.11,27993
600,2014-08-24,620213.96,34492
601,2014-08-25,821987.52,36773
602,2014-08-26,804425.86,34704
603,2014-08-27,856857.83,38871
604,2014-08-28,1279511.75,54237
605,2014-08-29,1740751.77,80703
606,2014-08-30,1151321.83,62168
607,2014-08-31,1914329.7,82507
608,2014-09-01,470689.5,18766
609,2014-09-02,513464.32,15341
610,2014-09-03,671534.43,20140
611,2014-09-04,752062.27,21732
612,2014-09-05,676591.82,23768
613,2014-09-06,474050.56,23070
614,2014-09-07,435554.07,19832
615,2014-09-08,829341.53,30971
616,2014-09-09,734451.61,29477
617,2014-09-10,814428.02,34364
618,2014-09-11,539775.31,23357
619,2014-09-12,732618.69,31459
620,2014-09-13,628772.2,31077
621,2014-09-14,647539.96,30989
622,2014-09-15,1243374.27,49057
623,2014-09-16,966217.69,36048
624,2014-09-17,826871.52,29280
625,2014-09-18,1210499.26,48822
626,2014-09-19,1118386.72,45225
627,2014-09-20,835380.19,39103
628,2014-09-21,646937.69,28486
629,2014-09-22,1172994.22,40165
630,2014-09-23,1227362.1,39562
631,2014-09-24,1211925.2,43087
632,2014-09-25,1303835.23,49174
633,2014-09-26,1457173.85,54681
634,2014-09-27,1136452.9,50089
635,2014-09-28,1499493.06,65671
636,2014-09-29,2969838.76,104012
637,2014-09-30,5197634.79,181666
638,2014-10-01,1472881.95,54733
639,2014-10-02,875115.14,30704
640,2014-10-03,807725.24,28241
641,2014-10-04,547517.06,25774
642,2014-10-05,661658.84,28950
643,2014-10-06,1289357.76,45888
644,2014-10-07,1688505.49,64385
645,2014-10-08,1210986.9,43581
646,2014-10-09,1211711.77,45462
647,2014-10-10,1057226.29,39972
648,2014-10-11,812459.25,40216
649,2014-10-12,1213766.66,57085
650,2014-10-13,1594722.32,63854
651,2014-10-14,1962418.8,80953
652,2014-10-15,3069732.17,127034
653,2014-10-16,1829493.45,73087
654,2014-10-17,1249547.93,47959
655,2014-10-18,960050.83,43447
656,2014-10-19,1041317.52,48067
657,2014-10-20,2066082.84,74219
658,2014-10-21,2204504.17,81598
659,2014-10-22,1926780.44,69548
660,2014-10-23,1766669.35,63026
661,2014-10-24,1840162.19,63681
662,2014-10-25,1249251.75,53811
663,2014-10-26,1457460.63,61451
664,2014-10-27,2309201.38,91802
665,2014-10-28,2601313.19,106887
666,2014-10-29,1919119.33,74802
667,2014-10-30,2374580.85,92928
668,2014-10-31,2581784.02,109982
669,2014-11-01,1506655.04,72755
670,2014-11-02,1830218.74,94949
671,2014-11-03,2056993.5,98991
672,2014-11-04,1091998.02,57406
673,2014-11-05,186455.56,7835
674,2014-11-06,279886.07,16238
675,2014-11-07,342960.22,20057
676,2014-11-08,164623.9,9694
677,2014-11-09,115424.86,8330
678,2014-11-10,213906.36,12248
679,2014-11-11,159199.38,9165
680,2014-11-12,148931.25,8246
681,2014-11-13,220738.39,11959
682,2014-11-14,189567.94,9579
683,2014-11-15,260479.65,14822
684,2014-11-16,209846.49,10983
685,2014-11-17,165657.35,10099
686,2014-11-18,165939.21,9325
687,2014-11-19,166070.33,9373
688,2014-11-20,250852.4,14385
689,2014-11-21,374181.11,18805
690,2014-11-22,203237.05,11775
691,2014-11-23,156511.84,9208
692,2014-11-24,257426.49,12681
693,2014-11-25,259254.05,11141
694,2014-11-26,167664.33,9455
695,2014-11-27,176933.77,11018
696,2014-11-28,257898.77,15270
697,2014-11-29,238713.63,13574
698,2014-11-30,652165.11,38575
699,2014-12-01,230503.45,9999
700,2014-12-02,374672.86,20055
701,2014-12-03,316097.48,16542
702,2014-12-04,171251.73,9155
703,2014-12-05,110818.98,4778
704,2014-12-06,80255.65,5236
705,2014-12-07,44798.86,3746
706,2014-12-08,64467.44,4708
707,2014-12-09,77702.65,5501
708,2014-12-10,92205.88,6613
709,2014-12-11,124572.09,11855
710,2014-12-12,92259.81,10131
711,2014-12-13,93210.48,7160
712,2014-12-14,66972.8,5177
713,2014-12-15,176955.69,10491
714,2014-12-16,151502.82,7357
715,2014-12-17,87001.57,5878
716,2014-12-18,76766.79,5139
717,2014-12-19,83727.51,6099
718,2014-12-20,143361.45,9909
719,2014-12-21,130358.63,7959
720,2014-12-22,166989.65,6255
721,2014-12-23,108343.46,6419
722,2014-12-24,109692.34,7202
723,2014-12-25,104602.42,7046
724,2014-12-26,132947.51,6758
725,2014-12-27,141901.95,8844
726,2014-12-28,240019.78,15666
727,2014-12-29,189481.33,11653
728,2014-12-30,307199.32,18603
729,2014-12-31,356375.16,21391
730,2015-01-01,125069.05,7415
731,2015-01-02,149809.06,8650
732,2015-01-03,145886.13,8334
733,2015-01-04,78531.95,4476
734,2015-01-05,41663.79,2721
735,2015-01-06,88701.69,5913
736,2015-01-07,81773.75,4495
737,2015-01-08,97062.27,4745
738,2015-01-09,92499.01,6653
739,2015-01-10,78400.85,5974
740,2015-01-11,61371.09,5570
741,2015-01-12,84364.19,6481
742,2015-01-13,217211.7,9861
743,2015-01-14,163007.77,8085
744,2015-01-15,236838.51,11276
745,2015-01-16,172455.97,9729
746,2015-01-17,88551.14,6691
747,2015-01-18,93429.03,6491
748,2015-01-19,89193.67,6638
749,2015-01-20,273774.67,15383
750,2015-01-21,295911.87,16817
751,2015-01-22,236316.74,13738
752,2015-01-23,140667.66,7662
753,2015-01-24,128708.21,8053
754,2015-01-25,147568.1,7801
755,2015-01-26,157859.32,10442
756,2015-01-27,233436.77,14479
757,2015-01-28,319226.2,18833
758,2015-01-29,270369.44,15276
759,2015-01-30,372855.09,20923
760,2015-01-31,578728.21,33611
761,2015-02-01,191009.55,10018
762,2015-02-02,205516.14,8496
763,2015-02-03,182437.49,7967
764,2015-02-04,145379.94,4732
765,2015-02-05,113140.6,4239
766,2015-02-06,134056.96,6469
767,2015-02-07,65498.23,3283
768,2015-02-08,54726.35,2968
769,2015-02-09,146620.94,6513
770,2015-02-10,180956.26,29705
771,2015-02-11,197046.1,15631
772,2015-02-12,157886.28,11619
773,2015-02-13,219156.9,12272
774,2015-02-14,120019.43,8903
775,2015-02-15,134036.85,9744
776,2015-02-16,159472.07,6330
777,2015-02-17,190203.75,7058
778,2015-02-18,186253.57,8013
779,2015-02-19,204720.44,8062
780,2015-02-20,223471.2,10914
781,2015-02-21,171593.2,9038
782,2015-02-22,119088.58,6308
783,2015-02-23,179941.26,6825
784,2015-02-24,220366.3,10453
785,2015-02-25,246328.0,13051
786,2015-02-26,274261.23,11649
787,2015-02-27,388507.34,20300
788,2015-02-28,916790.64,57418
789,2015-03-01,216873.96,8593
790,2015-03-02,213927.49,7740
791,2015-03-03,219403.27,7973
792,2015-03-04,207215.87,7958
793,2015-03-05,145613.87,5591
794,2015-03-06,153826.79,6507
795,2015-03-07,87178.68,4938
796,2015-03-08,87249.37,4008
797,2015-03-09,165807.87,4905
798,2015-03-10,216586.73,8931
799,2015-03-11,246672.18,8008
800,2015-03-12,290737.72,12786
801,2015-03-13,314248.42,14447
802,2015-03-14,155565.01,8569
803,2015-03-15,171925.03,9241
804,2015-03-16,264763.09,9921
805,2015-03-17,269944.57,14754
806,2015-03-18,295554.54,12128
807,2015-03-19,285774.1,13951
808,2015-03-20,309751.65,13399
809,2015-03-21,151627.22,11360
810,2015-03-22,151145.8,8174
811,2015-03-23,347596.9,9475
812,2015-03-24,507635.52,22101
813,2015-03-25,488018.92,19971
814,2015-03-26,496586.46,20588
815,2015-03-27,558243.89,22702
816,2015-03-28,401008.37,20502
